v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
3.022342235,3.085969176,3.141345866,2.759334208,3.198972625,3.191847407,2.948214972,2.871087619,2.95271511,2.680581805,2.883087985,2.964215461,1.687176489,2.492951079,2.889213172
3.022467238,3.083594104,3.14147087,2.755584094,3.197972594,3.191722404,2.944839869,2.871712638,2.95271511,2.870837611,2.877087802,2.969590625,1.54829725,2.546827723,2.886088076
3.023467269,3.087094211,3.142095889,2.753209021,3.199347636,3.192847438,2.940464736,2.872712668,2.952840114,3.079593982,2.867712516,2.969465621,1.505420942,2.581578784,2.896963408
3.022217231,3.086844203,3.141720878,2.72695822,3.197097568,3.188597308,2.937589648,2.873462691,2.955715201,3.107469832,2.862087344,2.964965484,1.619174413,2.541577563,2.810960784
3.023967284,3.087219214,3.141845882,2.735708487,3.197097568,3.190972381,2.948339976,2.876462783,2.958090274,3.122220283,2.850086978,2.958840297,1.698301828,2.469200354,2.851212012
3.023342265,3.091219337,3.142595904,2.73545848,3.196097537,3.191222388,2.941339763,2.877212806,2.958090274,3.124220344,2.848461928,2.970215644,1.62954973,2.479075655,2.854837123
3.023217261,3.089969298,3.143220923,2.735208472,3.196472549,3.191972411,2.948714988,2.879837886,2.960965361,3.125470382,2.846336863,2.974715781,1.545422163,2.491201025,2.837961608
3.024592303,3.09134434,3.142595904,2.73220838,3.196972564,3.192972442,2.954715171,2.881587939,2.962840419,3.123720328,2.835336528,2.969965636,1.589923521,2.477450606,2.833336467
3.023717277,3.092219367,3.141970885,2.731583361,3.196222541,3.191847407,2.950215033,2.87933787,2.962965423,3.127095431,2.827461287,2.982591021,1.581298257,2.43269924,2.834461501
3.023092257,3.090219306,3.142470901,2.73220838,3.196097537,3.19259743,2.952590106,2.878962859,2.962965423,3.131095553,2.831336406,2.983466048,1.581548265,2.450199774,2.826211249
3.024217292,3.090844325,3.143470931,2.733458419,3.196597552,3.191972411,2.953590136,2.881837947,2.960340342,3.128095462,2.828961333,2.988966216,1.816305429,2.495201147,2.815460921
3.025592334,3.091094333,3.141970885,2.731333354,3.197097568,3.192347423,2.956965239,2.882837977,2.960965361,3.127345439,2.824461196,2.976840846,1.954434645,2.519451888,2.819461043
3.025842341,3.09134434,3.142220893,2.730208319,3.196472549,3.191722404,2.959090304,2.882337962,2.962840419,3.128845485,2.842086734,2.979090915,1.920183599,2.502201361,2.825336222
3.025967345,3.094969451,3.14309592,2.735208472,3.196597552,3.192222419,2.958340281,2.884338023,2.961465377,3.124470351,2.851087008,2.980340953,1.932933988,2.49757622,2.809835749
3.026092349,3.095219459,3.143345927,2.735708487,3.196472549,3.19259743,2.956590228,2.883212989,2.962715415,3.127220435,2.833711478,2.985716117,1.908183233,2.530952239,2.799210425
3.026342357,3.095969481,3.143720939,2.747208838,3.196597552,3.19259743,2.953340129,2.883713004,2.964715476,3.12672042,2.845711844,2.976090823,1.675176122,2.323070894,2.803085543
3.026342357,3.094219428,3.142845912,2.751083956,3.196597552,3.19259743,2.955715201,2.885463057,2.965215491,3.127345439,2.858212226,2.990341258,1.786929533,2.179441511,2.805960631
3.027467391,3.096219489,3.143595935,2.74858388,3.196722556,3.191472396,2.959215308,2.885338054,2.967590564,3.123345317,2.8245862,2.975840815,1.756928617,2.060937895,2.798460402
3.028592425,3.091594348,3.143970946,2.743708731,3.195722526,3.190347362,2.958215278,2.885588061,2.96846559,3.129595508,2.834086489,2.979965941,1.811305277,2.050187567,2.822836146
3.027592395,3.093844417,3.144845973,2.747833857,3.196222541,3.190722373,2.94683993,2.887338115,2.969840632,3.132470595,2.839836665,2.974465773,1.860806787,2.174691366,2.826586261
3.028842433,3.096094485,3.146221015,2.746208808,3.196472549,3.191472396,2.94846498,2.887338115,2.970215644,3.132595599,2.828836329,2.987841182,1.843806269,2.163816034,2.82296115
3.028467421,3.094344432,3.144845973,2.741958678,3.198097598,3.191972411,2.944089846,2.888088137,2.970215644,3.136095706,2.834836512,2.994466384,1.901058016,2.063937986,2.822586138
3.029092441,3.094219428,3.144970977,2.745583789,3.197722587,3.192222419,2.938464675,2.889963195,2.968715598,3.135970702,2.837086581,2.981590991,1.932308969,2.12731492,2.818086001
3.029342448,3.093844417,3.143345927,2.764334361,3.197847591,3.192222419,2.943589831,2.89208826,2.96746556,3.138220771,2.864837428,2.975215796,1.837681082,2.166441115,2.81871102
3.029467452,3.093219398,3.144470962,2.757709159,3.197972594,3.191847407,2.945339885,2.892463271,2.969590625,3.137095737,2.867962523,2.974090762,1.798804895,2.306695395,2.800460463
3.029592456,3.095844478,3.144595965,2.768084475,3.198097598,3.191222388,2.947089938,2.892713279,2.969465621,3.136720725,2.874337718,2.968715598,1.822680624,2.206692343,2.857462203
3.029467452,3.095469466,3.144720969,2.795960326,3.197472579,3.1915974,2.947839961,2.893963317,2.968590594,3.133470626,2.869712577,2.980965972,1.813680349,2.052437635,2.868462539
3.02971746,3.095344462,3.145220985,2.797335368,3.198222602,3.192347423,2.948339976,2.893838313,2.97009064,3.135970702,2.868587542,2.979840938,1.8710571,2.055812738,2.865837458
3.031342509,3.096594501,3.145721,2.80233552,3.19847261,3.192097415,2.949840022,2.894088321,2.969465621,3.133220618,2.868337535,2.982591021,1.834930998,2.238818323,2.859087252
3.032467544,3.095094455,3.145470992,2.789835139,3.198347606,3.1915974,2.948714988,2.894588336,2.971215674,3.130595538,2.86983758,2.974465773,1.79405475,2.191566881,2.862587359
3.032967559,3.097469527,3.14672103,2.793585253,3.198097598,3.191222388,2.945464888,2.895213355,2.971965697,3.129220496,2.86983758,2.975965819,1.747803339,2.249818659,2.865587451
