v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
0.697396283,2.42057387,2.499826289,2.75708414,3.002341624,3.187472274,2.25081869,2.594454176,2.736333506,2.652830958,2.718707968,2.726208197,0.914277902,1.693301675,1.946934416
0.706896573,2.39632313,2.531702261,2.759584216,3.031967528,3.183847163,2.262819056,2.527327128,2.731333354,2.713582812,2.716082888,2.726208197,1.005780694,1.541922056,2.115439558
0.965154454,2.554952971,2.642955657,2.816960967,3.032217536,3.183597156,2.037437178,2.385322794,2.731333354,2.726208197,2.736333506,2.728833277,0.93977868,1.69542674,2.137190222
1.100908597,2.462700156,2.623330058,2.92421424,3.003966674,3.195472518,1.97756035,2.399198218,2.723708121,2.708582659,2.713582812,2.69845735,1.178785974,1.650925382,2.117064608
1.337165807,2.589704031,2.497326212,2.00243611,3.126845424,3.16472158,2.264819117,2.635455428,2.731333354,2.736333506,2.660456191,2.769334513,2.324695944,1.7956798,2.028186895
2.98059096,2.812835841,2.545702689,1.481420209,3.140220832,2.923214209,2.622205023,2.662456252,2.397198157,2.316195685,2.711082736,2.776834742,1.298164617,1.601798883,1.906558184
2.930964446,2.77970983,2.518826868,1.902433058,3.145846004,3.107344829,2.529827204,2.488325938,2.607329569,2.655331034,2.675581652,2.6705815,1.064282479,1.559172582,2.183566637
0.910402783,2.367322245,2.891838252,2.909963805,2.110564409,3.191972411,1.014530961,2.027186865,2.700957427,2.741458663,2.713582812,1.96180987,0.681645802,1.803180029,2.231443098
0.682645833,2.197817072,2.837461592,2.972590716,2.832711447,3.203597766,1.883807489,2.056312754,2.713582812,2.703457503,2.688332041,2.673081576,0.81427485,1.784304453,2.122314768
1.112908963,2.649330851,2.585203894,1.827930784,3.109719901,3.155096286,2.406698447,2.644455702,2.630080264,2.602204413,1.901058016,2.604704489,0.746147771,1.798804895,1.933809015
2.972840724,2.843086764,2.276569475,1.27828901,3.145595996,2.69483224,2.445574633,2.63683047,2.136440199,2.121314737,2.703457503,2.743958739,0.824650166,1.563422712,1.960559832
2.894088321,2.810460768,2.646455763,2.601704398,3.122720298,3.15359624,2.280819605,2.318945769,2.6705815,2.647830805,2.657956114,2.660456191,0.843025727,1.515546251,2.010561357
0.566517289,2.080563494,2.872212653,2.834211493,2.672831568,3.188597308,1.500170782,2.02768688,2.622455031,2.63258034,2.419948851,1.809930235,0.402137272,1.679051241,2.028686911
0.68552092,2.348446669,2.742208686,1.513171178,3.05759331,3.143970946,1.938309153,2.454074892,2.642705649,2.668081423,2.609829646,2.711082736,2.653705985,1.971810175,2.415948729
1.777179235,2.722958098,2.681581835,2.815710929,3.047217994,3.1588464,1.984935575,2.42319895,2.895838374,2.827461287,2.921214148,2.913588916,2.965715506,1.706802087,2.031687002
2.032187017,2.758959197,2.64208063,2.758334178,3.080093997,3.172721824,1.823805658,2.361947081,2.662956267,2.635080416,2.599704337,2.579453719,1.068282601,1.516921293,1.917558519
2.248068606,2.82983636,2.571453475,1.951934568,3.114970061,3.15097116,2.132440077,2.492201056,2.526327097,2.599704337,2.6705815,2.723708121,2.389572924,1.61317423,2.002561113
2.106939299,2.731958373,2.67420661,2.890338206,3.0998446,3.15784637,2.183691641,2.470825404,2.83508652,2.842711753,2.918589068,2.916088992,3.00121659,1.623424543,2.133690115
2.249443648,2.776334727,2.881212928,2.867962523,3.087844234,3.173221839,1.654050478,2.289319864,2.738958586,2.718707968,2.688332041,2.662956267,0.910402783,1.481545213,1.844056276
2.225192907,2.729958312,2.591579089,1.944684347,3.103094699,3.151471175,2.08206354,2.57982873,2.427574084,2.447824702,2.384572771,2.303570299,0.790149113,1.52567156,1.792429701
1.32679049,2.618704917,2.804710593,2.72433314,3.080969024,3.157471358,2.207442366,2.529827204,2.895838374,2.888213141,2.946464919,2.956590228,3.037217689,1.716302377,2.000936064
2.08831373,2.759834223,2.910088809,2.806960662,3.058468337,3.167596667,1.431543687,1.970310129,2.718707968,2.718707968,2.743958739,2.683206885,-0.110003357,1.638174993,1.780054323
2.300195196,2.72270809,2.846836879,2.625455123,3.108094852,3.166471633,2.279819575,2.319820795,2.546577715,2.56932841,2.579453719,2.571828486,0.14550444,1.628174688,1.892182745
1.783679434,2.700332408,2.801085482,2.576078616,3.09034431,3.160846461,2.198942106,2.460075076,2.814835902,2.857837214,2.883212989,2.888213141,3.009466842,1.759178686,2.66470632
2.493951109,2.674081606,2.913713919,2.706332591,3.063968505,3.173846858,2.181191565,2.357946959,2.824961211,2.822461135,2.842711753,2.822461135,1.229287515,1.572172979,2.009061312
2.465200232,2.721458052,2.904713645,2.766584429,3.102594684,3.177721976,1.906308176,2.118189642,2.59720426,2.589579028,2.506076479,2.511076632,0.993655324,1.764303842,1.940684225
2.105189245,2.653080966,2.816335948,2.365572192,3.096469497,3.160846461,2.201067171,2.512826685,2.662956267,2.751583972,2.794585284,2.830086367,2.9294644,1.860806787,2.435199316
2.166191107,2.593954161,2.920089114,2.969965636,3.059593371,3.18047206,1.98868569,2.383072726,2.870587603,2.837586596,2.893338298,2.888213141,2.149440596,1.273788873,1.918808557
2.309195471,2.660706198,2.905963683,2.865587451,3.071968749,3.174971892,1.516671285,1.886682577,2.761709281,2.703457503,2.731333354,2.716082888,0.797649342,1.705927061,1.934809046
1.36379162,2.641830622,2.914088931,2.90096353,3.03071749,3.195347514,1.905683157,2.33932139,2.657956114,2.657956114,2.665456343,2.680706809,1.048281991,1.732802881,1.92218366
2.893838313,2.827961303,2.548327769,1.769554003,3.124720359,3.08084402,2.32457094,2.727208228,2.187066744,1.98706064,2.708582659,2.822461135,-0.119503647,1.805805109,1.70492703
2.980840968,2.86458742,2.745708792,1.421918394,3.134345653,3.065968566,2.384322764,2.623330058,2.559203101,2.650330882,2.693332194,2.708582659,0.887152074,1.691176611,1.672051027
1.629424726,2.749083895,2.879962889,2.873462691,2.918589068,3.178221992,1.684176397,1.863931883,2.69845735,2.708582659,2.721208045,2.728833277,0.821775079,1.656675558,1.731927854
0.898652425,2.394823084,2.927464339,2.953590136,2.901713553,3.192222419,1.745803278,2.048562517,2.754084048,2.743958739,2.736333506,2.736333506,0.9961554,1.769679006,1.725427656
1.918058535,2.612329722,2.469700369,2.270069277,3.111344951,3.166346629,2.212692526,2.548202765,2.77183459,2.77183459,2.77183459,2.794585284,0.71139671,1.6252996,1.782929411
2.97696585,2.812960845,2.706332591,1.611674184,3.151471175,3.116095096,2.50282638,2.660831202,2.640205573,2.627580187,2.842711753,2.842711753,1.177785943,1.812555315,1.847931394
2.636955473,2.781084872,2.85246205,2.801460494,3.138220771,3.168221686,2.199817133,2.37732255,2.617454878,2.604704489,2.592079104,2.554077944,0.733522385,1.804680074,1.757303629
1.02465627,2.35207178,2.808835719,2.50707651,2.986341136,3.184597186,1.994310862,2.281444624,2.657956114,2.680706809,0.445513596,1.845306314,0.680395764,1.83205591,1.823430647
0.746522782,2.174566362,2.308695456,1.144034913,3.075468856,3.147096042,2.288444838,2.591204077,2.647830805,2.6705815,0.460764061,1.696051759,0.779648793,1.798679891,1.781804376
0.874651692,2.502201361,2.448449721,1.682051332,3.100469619,3.137720756,2.140315317,2.595454207,2.817335978,2.850336985,2.87308768,2.883212989,2.741958678,1.966435011,1.670550981
2.417323771,2.673456587,2.82033607,2.576453627,3.063343486,3.152221198,2.198317087,2.610329661,2.584453871,2.56932841,2.485825861,2.389572924,0.74677279,1.453544359,1.460544572
1.433418744,2.409448531,2.257568896,1.207286843,3.028217414,3.118470168,2.447699698,2.675581652,2.523702017,2.53132725,0.437888363,2.128814966,0.462764122,1.69442671,1.493420576
2.86196234,2.667456404,2.677081698,1.286289254,3.142595904,3.103344707,2.220567766,2.516826807,2.824961211,2.786960051,2.862962371,2.852837062,2.196067019,1.898557939,1.767053926
2.910213813,2.788460097,2.828961333,2.143190405,3.020092166,3.148721091,2.174941374,2.694957244,2.574328562,2.581953795,2.551577868,2.014936491,0.771273537,1.373416913,1.507421003
1.444169073,2.531077242,2.585578906,1.271788812,3.124970367,3.142095889,2.322945891,2.644080691,2.668081423,2.6705815,2.460450087,1.840306162,0.308759423,1.44604413,1.551672353
2.049562548,2.683331889,2.768334483,2.226567949,3.080219001,3.140595843,2.329696097,2.343821528,2.89833845,2.888213141,2.921214148,2.916088992,2.999341533,2.615579821,2.502076357
2.409573534,2.751083956,2.857837214,2.556203009,3.082719077,3.145971007,2.082563555,2.325070956,2.807210669,2.764209357,2.779459822,2.766709433,-0.126003845,1.642050111,1.855306619
2.087563707,2.735083468,2.85246205,2.620079958,3.034717612,3.173096835,1.814180364,2.517701834,2.59720426,2.602204413,2.440199469,1.870682089,0.482514725,1.810805261,1.794929777
0.729397259,2.369697317,2.495701163,0.980779931,3.096344493,3.146596026,2.21381756,2.556578021,2.713582812,2.761709281,2.784459975,2.804710593,0.118128605,1.385042268,1.489045442
2.438574419,2.735958495,2.794960295,2.745208777,3.093594409,3.162221503,2.28819483,2.498326243,2.888213141,2.890838221,2.928714377,2.916088992,2.927839351,2.532452284,1.524296518
1.852306528,2.737333537,2.903713614,2.785209998,3.062218451,3.171721793,1.41329313,2.239943358,2.850336985,2.850336985,2.860462294,2.878087832,2.032062014,1.751678457,1.525796564
2.390322947,2.755209082,2.914213935,2.78133488,3.089719291,3.175346904,1.760803735,2.116939604,2.789585131,2.779459822,2.781959899,2.784459975,0.832400403,1.685301431,1.866306955
2.164566057,2.67320658,2.885338054,2.789835139,3.09459444,3.170471755,2.406448439,2.398073183,2.827461287,2.837586596,2.842711753,2.847711905,2.223192846,1.756928617,1.757928648
2.440824488,2.663081271,2.873462691,2.757959166,3.101469649,3.170596759,1.927183813,2.445449629,2.857837214,2.862962371,2.867962523,2.875587756,2.863087374,1.775179174,1.553797418
2.802085513,2.782959929,2.727083224,2.688582049,3.116970122,3.16734666,1.931308939,2.466200262,2.83508652,2.850336985,2.855337138,2.855337138,1.339665883,1.612424207,1.48929545
2.737208533,2.800335459,2.886588092,2.687457015,3.096969512,3.174721885,1.952809595,2.395698111,2.781959899,2.786960051,2.781959899,2.779459822,0.739272561,1.65217542,1.839181127
2.276694479,2.67158153,2.919339091,2.599329325,3.110719932,3.171096774,2.319195776,2.465825251,2.784459975,2.817335978,2.83508652,2.847711905,2.120814722,1.453044343,1.54729722
2.613704764,2.710207709,2.889338176,2.557703055,3.103969726,3.15622132,1.998560991,2.304320322,2.845211829,2.885713065,2.905963683,2.89833845,2.977215857,2.645955748,2.11256447
2.954465163,2.830211371,2.932214484,2.121689749,3.129470504,3.14934611,1.500295785,2.15844087,2.83508652,2.837586596,2.860462294,2.852837062,1.228287484,1.681551317,1.676051149
2.884463027,2.832586444,2.873462691,2.256818873,3.116845119,3.163721549,2.071563219,2.277569506,2.766709433,2.77183459,2.812335826,2.809835749,0.911027802,1.654550493,1.544297128
2.932714499,2.864462416,2.775334696,1.734552934,3.151471175,3.141345866,2.38419776,2.552327891,2.652830958,2.746458815,2.741458663,2.812335826,0.841525681,1.622174505,1.385917295
3.024467299,2.851087008,2.803710562,1.612674215,3.159096408,3.122970305,2.354446852,2.590704062,2.711082736,2.619954955,2.895838374,2.903463607,2.978965911,1.899057955,1.451544298
2.969840632,2.792460219,2.804085574,2.438699423,3.145095981,3.135845698,1.977310343,2.471200415,2.53132725,2.599704337,2.860462294,2.842711753,-0.024875759,1.539796991,1.411293069
2.991466292,2.90521366,2.728208258,1.776804224,3.156346324,3.131345561,2.142565386,2.399823237,2.407323466,2.678206732,2.690832118,2.769334513,0.095127903,1.806555132,1.39754265
3.006216742,2.913338908,2.75120896,1.2419129,3.162846522,3.100094607,2.415073702,2.583328837,2.635080416,2.741458663,2.690832118,2.792085208,0.328135014,1.610924162,1.419793329
3.007591784,2.920339122,2.75020893,1.660050661,3.173846858,3.093344401,2.202442213,2.271444319,2.69845735,2.77183459,2.83508652,2.842711753,1.104158696,1.391542467,1.44604413
2.812710837,2.874962737,2.860212287,2.715957884,3.074218818,3.149721122,1.298789636,1.306539872,2.756584124,2.827461287,2.850336985,2.850336985,1.006905728,1.37429194,1.536421888
2.765584399,2.866837489,2.909088778,2.282194647,3.10771984,3.142345897,1.71605237,2.299945189,2.749083895,2.804710593,2.774334666,2.812335826,0.695771233,1.497670705,1.510421094
3.030217475,2.908713767,2.791210181,1.356541398,3.15259621,3.108594867,2.36944731,2.628080203,2.622455031,2.182066591,2.69845735,2.794585284,1.665675832,1.27566393,1.136909696
3.0834691,2.904713645,2.766959441,1.386292306,3.158221381,2.955965209,2.428324107,2.569578417,2.108564348,2.113689505,2.769334513,2.832586444,1.311540025,1.512671163,0.857776177
3.044217902,2.89833845,2.669706473,1.394792566,3.153971252,3.032592547,2.421823908,2.55132786,2.333946226,2.488325938,2.779459822,2.809835749,0.562017151,1.512046144,1.003155614
3.015592029,2.913838923,2.775084689,1.263038545,3.1620965,3.090594317,2.194316965,2.344571551,2.571828486,2.746458815,2.779459822,2.807210669,0.469639332,1.534796838,1.179911008
2.961590381,2.884338023,2.863087374,1.990935759,3.139095798,3.131470565,2.027186865,2.352446791,2.756584124,2.814835902,2.830086367,2.837586596,0.898277413,1.478545122,0.925778253
2.920589129,2.827961303,2.845711844,1.370916837,3.144470962,3.112844996,2.017686575,2.437699393,2.766709433,2.784459975,2.824961211,2.837586596,1.637924986,1.337165807,0.804024537
3.022592242,2.819961058,2.721333048,1.218162175,3.165471603,3.079468978,2.396073122,2.390072939,2.607329569,2.402198309,2.814835902,2.83508652,1.589048494,1.401542772,1.102033631
3.017342082,2.85833723,2.748083865,1.382917203,3.140970855,3.060093387,2.372572405,2.442324534,2.541452559,2.473075472,2.822461135,2.840211676,0.865651418,1.236412732,0.889527146
2.99696646,2.859462264,2.740083621,1.426793542,3.135845698,3.071968749,2.402448317,2.508451552,2.587078951,2.705957579,2.83508652,2.862962371,0.812524796,1.328665548,1.13803473
2.923089206,2.864462416,2.846961882,1.539921995,3.146096011,3.129720511,2.267819208,2.267194189,2.746458815,2.79708536,2.832586444,2.850336985,0.661770196,1.271163793,1.197286538
3.042217841,2.934214545,2.81771099,1.708677145,3.14147087,3.117970153,2.152565691,2.399573229,2.741458663,2.77183459,2.855337138,2.867962523,1.806555132,1.25403827,1.197911557
3.040342784,2.90096353,2.827836299,1.360791528,3.12147026,3.091719352,2.270944304,2.587828974,2.574328562,2.280694601,2.837586596,2.850336985,2.259318949,1.536046876,1.248538102
3.07559386,2.90683871,2.792460219,1.330790613,3.10609479,3.050218085,2.35207178,2.486075869,2.333946226,1.88580755,2.840211676,2.865462447,0.736647481,1.23141258,1.172660787
3.068593646,2.941964782,2.776209723,1.204661763,3.144845973,3.027842402,2.418323801,2.346696615,2.338946379,2.283319681,2.635080416,2.852837062,0.475514512,1.631049776,1.380667135
3.062968474,2.936589618,2.676706687,1.412418104,2.972590716,3.096594501,1.846556352,2.144190435,2.675581652,2.769334513,2.804710593,2.804710593,0.634519364,1.456294443,1.60367394
2.717707938,2.889213172,2.834836512,1.860306772,3.110969939,3.151971191,1.911433332,2.04668746,2.830086367,2.850336985,2.865462447,2.867962523,0.934028504,1.369666799,1.434293771
2.942589801,2.911838862,2.752333995,1.418918302,3.030467483,3.120095218,1.85893173,2.414698691,2.814835902,2.784459975,2.462950163,2.87308768,1.064407483,1.442169012,1.00728074
3.088844264,2.926964324,2.601329386,1.148660054,2.978215888,2.629080233,2.188191778,2.382197699,1.754178533,1.577048128,0.288633808,2.832586444,2.411698599,1.687176489,1.20291171
3.074593829,2.900463515,2.638830531,1.240162847,2.979340922,2.934214545,2.455699942,2.586453932,2.171941282,1.754178533,2.685706961,2.842711753,0.710271676,1.653675466,1.026781335
3.044092898,2.927464339,2.705707572,1.391542467,2.997341472,3.040717795,2.363822138,2.361947081,2.523702017,2.708582659,2.711082736,2.794585284,0.538891446,1.496545671,1.312165044
2.924714255,2.953465133,2.79608533,1.264288583,3.131595569,3.11559508,2.230568072,2.107939329,2.764209357,2.789585131,2.807210669,2.819961058,0.535016327,1.415043184,1.474795007
2.744083743,2.905838679,2.820836085,1.311915036,3.14409595,3.140095828,1.925558763,2.121689749,2.827461287,2.852837062,2.860462294,2.875587756,1.547422224,1.593048616,1.580298227
3.00646675,2.910338816,2.722083071,1.094908414,3.014842006,3.123345317,1.887182592,2.515576769,2.79971044,2.786960051,2.819961058,2.875587756,2.255318827,1.436168828,1.42016834
3.07921897,2.951590075,2.752709006,0.667645375,3.173971862,3.083219092,2.222192816,2.475450545,2.655331034,2.556703024,2.574328562,2.812335826,0.5963932,1.543547105,1.180911039
3.020967193,2.923214209,2.611829707,1.045531907,3.162971526,3.074718833,2.427824091,2.510076601,2.602204413,2.579453719,2.346571612,2.511076632,0.484014771,1.763803827,1.13640968
2.468200323,2.743208716,2.709957701,0.672520524,3.133220618,3.138345775,2.561453169,2.620954985,2.609829646,2.622455031,0.458138981,2.075688345,0.354260811,1.70655208,1.314915128
1.148785058,2.310570513,2.334821253,0.878276803,3.053843196,3.13884579,2.558078066,2.51920188,2.63258034,2.652830958,0.46826429,1.949184484,0.443513535,1.64692526,1.3959176
1.49454561,2.384947783,2.538327464,0.848400891,3.064718528,3.12672042,2.461325114,2.542827601,2.766709433,2.79971044,2.817335978,2.862962371,2.268069216,1.782054384,2.177566454
2.5165768,2.789960143,2.885088046,2.510201605,3.069093661,3.137970763,1.283539171,1.885932554,2.852837062,2.832586444,2.880712912,2.880712912,2.619954955,1.292414441,1.780304331
