v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14
1.113283975,2.470200385,2.569453413,1.262913541,2.857337199,3.11297,2.163066012,2.157815851,2.662331248,2.795835322,1.297914609,1.961684866,0.61964391,1.199911618,1.745803278
2.838586627,2.734458449,2.726208197,2.791085177,3.098094546,3.15622132,2.000311045,2.124439833,2.713582812,2.895088351,3.031342509,3.181597095,3.121970275,1.230162542,1.491670522
2.897963439,2.76920951,2.833336467,2.841211707,3.072093753,3.158471389,1.488420423,1.26778869,2.650080874,2.388572893,2.81871102,3.047468001,1.173910825,1.297539598,1.491295511
2.827711295,2.735083468,2.89308829,2.778334788,3.09296939,3.174596881,1.583298318,1.753178503,2.619704947,2.70795764,1.908433241,2.198317087,1.141659841,1.281789117,1.700426893
2.32719602,2.689457076,2.673331584,1.386917325,3.100094607,3.166471633,1.810680258,2.183941649,2.54507767,2.812960845,1.561047639,1.648675314,0.823025117,1.231287576,1.74292819
0.767523423,2.251568712,2.102689169,1.14916007,2.841086703,3.16472158,2.155940794,2.411948607,2.562578204,3.006716758,1.628799707,1.556047487,0.819400006,1.255288308,1.834555986
0.948528947,2.282819666,2.368947295,1.19178637,3.123220313,3.157096347,2.150440626,2.436574358,2.553327921,2.804460585,1.485920347,1.779804315,0.871151585,1.092658345,1.790679647
2.116064577,2.546952727,2.653955992,2.081938536,3.060093387,3.170846767,1.965934996,2.333196203,2.627955199,2.492951079,2.83671157,3.170221747,2.869587573,1.371916868,1.533046785
3.024342296,2.824836207,2.812835841,2.93108945,2.927339335,3.17259682,1.385667287,1.525421552,2.749833918,2.284069704,2.971840693,3.153971252,2.923964232,1.152910184,1.46504471
2.917589038,2.856462172,2.930214423,2.729333293,3.104469741,3.175596912,1.758803674,1.853056551,2.77445967,2.300945219,2.524952055,3.03071749,1.249663137,1.332790674,1.260163457
2.945464888,2.856212165,2.904588641,2.348321665,2.829961364,3.180847072,1.960684835,2.274569414,2.760084231,2.897463424,1.571672964,1.721927549,1.202161687,1.273913877,1.36054152
0.745522752,2.402948332,2.329071078,1.37266689,3.077093905,3.180097049,2.220067751,2.400823267,2.738583575,2.839711661,1.435293802,1.79992993,0.85065096,1.293164464,1.377542039
0.776773705,2.426824061,2.31932078,1.195536485,3.069843684,3.171596789,2.128064943,2.541577563,2.721833064,2.90421363,1.491670522,1.92380871,1.049282022,1.293914487,1.417168249
2.918839076,2.836961577,2.556578021,0.95552916,3.185472213,2.988341197,2.396948149,2.69845735,2.636705466,1.714677328,1.570922941,2.244068484,1.107283792,1.326290475,1.271538804
3.135345683,2.897838435,2.276444472,0.949403974,3.131595569,2.581328776,2.523202002,2.701832453,2.608079592,1.706052065,1.497045686,1.516671285,0.729397259,1.206286813,1.387542344
3.050343089,2.912963897,2.556578021,0.908902738,3.165096591,3.046342967,2.674706626,2.586328928,2.607454573,2.623205054,1.744678243,1.617174352,0.653269936,1.296789575,1.446419141
1.776929228,2.63520542,2.552202887,2.001311075,3.118345164,3.094469436,2.163816034,2.164816065,2.624330088,2.877712821,1.437418867,1.612799219,0.88277694,1.272413831,1.384417249
1.20128666,2.221817804,2.708457656,2.692332163,1.654300485,3.139595813,1.326165471,1.285789239,2.559328104,2.959840327,1.18916129,1.647925291,0.772273568,1.227662465,1.417168249
0.943778802,2.188816797,2.747333842,2.523952025,2.547202734,3.167471664,1.469419843,1.812180303,2.673081576,3.008716819,1.436418836,1.592923612,0.830275338,1.206161809,1.412418104
0.936028565,2.657581103,2.7000824,1.880307382,3.049343059,3.171346782,1.819555528,2.228067995,2.693707205,2.977590869,1.430668661,1.513046175,0.822025086,1.164410535,1.428293588
3.016592059,2.850211982,2.655956053,0.956654195,3.130720542,3.104844752,2.311320536,2.508326548,2.635580432,1.693051668,1.440543962,2.904838649,0.835525498,1.056157231,1.293539476
3.132220588,2.954840175,2.581578784,1.129534471,3.149221107,2.894963347,2.570703452,2.61782989,2.481825739,2.144315439,1.3664167,2.147440535,0.663270241,1.278914029,1.274538896
3.067218604,2.993966369,2.593329142,1.201536668,3.185847224,3.038092715,2.678206732,2.556203009,2.609204627,2.398073183,1.354541337,1.385542283,0.808024659,1.268038697,1.396917631
2.542452589,2.857837214,2.848961943,1.874057192,3.131845576,3.126470412,2.470325388,2.338196356,2.564578265,2.87671279,1.327915525,1.546297189,0.669270425,1.258038392,1.416168218
0.965529466,1.894682821,2.801835505,2.696457289,2.461950133,3.155971313,1.16753563,1.390417432,2.656581072,3.012841945,1.34741612,1.714552324,0.880526872,1.286664266,1.38904239
0.812024781,2.159565905,2.84196173,2.689457076,2.953590136,3.183597156,1.411543077,1.851556505,2.696957305,3.057093295,1.189911313,1.581298257,0.81689993,1.320290292,1.375541978
1.115159032,2.685831965,2.751583972,1.731052828,3.089844295,3.186972259,2.027311869,2.287444807,2.681206824,2.881962951,1.388167364,1.819180517,0.940403699,1.349916196,1.359041475
3.055093234,2.844711814,2.663456282,1.177910947,3.140095828,2.872462661,2.220442763,2.568953398,2.601954405,1.480420179,1.430418653,2.995716422,0.827150243,1.332915677,1.308914945
3.147596057,2.974715781,2.569078402,1.298664632,3.124970367,2.704957549,2.39632313,2.549827815,2.603954466,1.595923704,1.521921445,2.249568651,0.79889938,1.20716184,1.393417524
3.071593738,2.976215827,2.448199713,1.359291482,3.193847468,2.983091037,2.558828089,2.388822901,2.591204077,2.596454237,1.460919584,1.632424818,0.883901975,1.193786431,1.475170019
1.748803369,2.693332194,2.736333506,2.677331706,2.928089358,3.124595355,1.79992993,2.102689169,2.502451369,2.813835871,1.281664113,1.718052431,0.883026948,1.23766277,1.458919523
1.077532884,1.878182318,2.870962615,2.795460311,1.789679617,3.153721244,1.234662679,1.480170171,2.507826533,2.932464492,1.168660665,1.654425489,0.878401807,1.223162328,1.445669118
0.858276193,1.943684317,2.829961364,2.689957091,2.95634022,3.174846889,1.54204706,1.706927091,2.559953124,3.014842006,1.449419233,1.730052797,0.778648762,1.295664541,1.446919156
0.996280404,2.633330363,2.831461409,2.212317515,3.024467299,3.179597034,1.946059389,2.226442946,2.599954344,2.917714042,1.69180163,2.382822718,0.782148869,1.190536332,1.449419233
3.04709299,2.846961882,2.733333415,1.048782006,3.110844935,3.039342753,2.271194311,2.589079012,2.865587451,1.588548479,1.479170141,3.030467483,0.79102414,1.225662404,1.407292947
3.140095828,2.933964537,2.466700278,1.422418409,3.148221076,2.884588031,2.350196722,2.547327738,2.896213385,2.00768627,1.268288705,2.724208136,0.891027192,1.175785882,1.389292398
3.084094119,2.933089511,2.707207617,1.686301462,3.17784698,3.089844295,2.52707712,2.387072848,2.913588916,2.603329447,0.925653249,1.552047365,0.92602826,1.219912229,1.326290475
1.444044069,2.66895645,2.748208869,2.392448012,2.963965453,3.149971129,2.063812983,2.11156444,2.765209387,2.926714316,1.281414106,1.468294809,0.884276986,1.164035524,1.309289956
1.024156255,1.977685354,2.739458602,2.240443373,2.950715049,3.17359685,1.475170019,2.116939604,2.500326304,2.878837855,1.130284494,1.639300027,0.901027497,1.193161412,1.28253914
